step,walltime,value,smoothed,sessionName
0,1569642290.1155136,0.132191702330568,0.132191702330568,team18/sr-hack-2019-dataset/740
1,1569643543.7081633,0.12644295913011502,0.12644295913011502,team18/sr-hack-2019-dataset/740
2,1569644768.8033674,0.12446762732696316,0.12446762732696316,team18/sr-hack-2019-dataset/740
3,1569645988.6935554,0.12176520457100133,0.12176520457100133,team18/sr-hack-2019-dataset/740
4,1569647213.128558,0.11955816460043747,0.11955816460043747,team18/sr-hack-2019-dataset/740
5,1569648435.9080675,0.11728215007847409,0.11728215007847409,team18/sr-hack-2019-dataset/740
6,1569649648.3132434,0.11422730737620468,0.11422730737620468,team18/sr-hack-2019-dataset/740
7,1569650865.631365,0.11174928556583595,0.11174928556583595,team18/sr-hack-2019-dataset/740
8,1569652073.9174573,0.10880885393688029,0.10880885393688029,team18/sr-hack-2019-dataset/740
9,1569653299.924365,0.10755656444899711,0.10755656444899711,team18/sr-hack-2019-dataset/740
10,1569654506.1799347,0.10492222648147934,0.10492222648147934,team18/sr-hack-2019-dataset/740
11,1569655711.2451112,0.10268945593148195,0.10268945593148195,team18/sr-hack-2019-dataset/740
12,1569656936.354384,0.10233241034237016,0.10233241034237016,team18/sr-hack-2019-dataset/740
13,1569658156.4964724,0.100599902829917,0.100599902829917,team18/sr-hack-2019-dataset/740
14,1569659367.685998,0.09768389203211197,0.09768389203211197,team18/sr-hack-2019-dataset/740
15,1569660595.849843,0.09705778070924288,0.09705778070924288,team18/sr-hack-2019-dataset/740
16,1569661818.780335,0.0947440117898709,0.0947440117898709,team18/sr-hack-2019-dataset/740
17,1569663043.967524,0.09287391560432672,0.09287391560432672,team18/sr-hack-2019-dataset/740
18,1569664265.880226,0.09049703094419659,0.09049703094419659,team18/sr-hack-2019-dataset/740
19,1569665475.749992,0.08802455658779104,0.08802455658779104,team18/sr-hack-2019-dataset/740
20,1569666693.6887875,0.08643076818250989,0.08643076818250989,team18/sr-hack-2019-dataset/740
21,1569667909.3149364,0.08472098597674009,0.08472098597674009,team18/sr-hack-2019-dataset/740
22,1569669100.6315572,0.08145604186951953,0.08145604186951953,team18/sr-hack-2019-dataset/740
23,1569670307.1909127,0.0813425866257447,0.0813425866257447,team18/sr-hack-2019-dataset/740
24,1569671520.3808498,0.08010508446291878,0.08010508446291878,team18/sr-hack-2019-dataset/740
25,1569672737.1127994,0.07840737249623382,0.07840737249623382,team18/sr-hack-2019-dataset/740
26,1569673958.458088,0.07687313779647889,0.07687313779647889,team18/sr-hack-2019-dataset/740
27,1569675161.6383555,0.07489310200942738,0.07489310200942738,team18/sr-hack-2019-dataset/740
28,1569676368.5462866,0.07509970306443295,0.07509970306443295,team18/sr-hack-2019-dataset/740
29,1569677583.6549482,0.07373561136397626,0.07373561136397626,team18/sr-hack-2019-dataset/740
30,1569678801.4934013,0.07263228585074583,0.07263228585074583,team18/sr-hack-2019-dataset/740
31,1569680005.5199933,0.07110925258291768,0.07110925258291768,team18/sr-hack-2019-dataset/740
32,1569681217.7489607,0.07012189648376967,0.07012189648376967,team18/sr-hack-2019-dataset/740
33,1569682421.1412628,0.06849741015885528,0.06849741015885528,team18/sr-hack-2019-dataset/740
34,1569683620.5966353,0.06754664456756249,0.06754664456756249,team18/sr-hack-2019-dataset/740
35,1569684834.761887,0.06737081204581576,0.06737081204581576,team18/sr-hack-2019-dataset/740
36,1569686041.4973752,0.06594813201065484,0.06594813201065484,team18/sr-hack-2019-dataset/740
37,1569687249.0361316,0.06516052766686294,0.06516052766686294,team18/sr-hack-2019-dataset/740
38,1569688471.3912685,0.0646575629607588,0.0646575629607588,team18/sr-hack-2019-dataset/740
39,1569689688.3072007,0.06378277159188674,0.06378277159188674,team18/sr-hack-2019-dataset/740
40,1569690884.7540338,0.0610085043910424,0.0610085043910424,team18/sr-hack-2019-dataset/740
41,1569692087.2623768,0.061432938114207095,0.061432938114207095,team18/sr-hack-2019-dataset/740
42,1569693305.0612473,0.06103867033176267,0.06103867033176267,team18/sr-hack-2019-dataset/740
43,1569694519.2413113,0.059770794831182035,0.059770794831182035,team18/sr-hack-2019-dataset/740
44,1569695731.7949834,0.058889752386411004,0.058889752386411004,team18/sr-hack-2019-dataset/740
45,1569696933.7944095,0.058275120889218615,0.058275120889218615,team18/sr-hack-2019-dataset/740
46,1569698129.191962,0.05694663089789539,0.05694663089789539,team18/sr-hack-2019-dataset/740
47,1569699332.270202,0.05674387068936142,0.05674387068936142,team18/sr-hack-2019-dataset/740
48,1569700539.7820134,0.05667965134644914,0.05667965134644914,team18/sr-hack-2019-dataset/740
49,1569701748.4407535,0.05595649556778079,0.05595649556778079,team18/sr-hack-2019-dataset/740
50,1569702958.7466886,0.05497922384178755,0.05497922384178755,team18/sr-hack-2019-dataset/740
51,1569704182.128896,0.05554635401742361,0.05554635401742361,team18/sr-hack-2019-dataset/740
52,1569705397.5780003,0.05383792190789942,0.05383792190789942,team18/sr-hack-2019-dataset/740
53,1569706605.9005704,0.05372486976691625,0.05372486976691625,team18/sr-hack-2019-dataset/740
54,1569707796.3061955,0.05197723161521476,0.05197723161521476,team18/sr-hack-2019-dataset/740
55,1569709004.1027293,0.05208686820983929,0.05208686820983929,team18/sr-hack-2019-dataset/740
56,1569710195.1961093,0.05025318303969435,0.05025318303969435,team18/sr-hack-2019-dataset/740
57,1569711415.6778831,0.051367037289995074,0.051367037289995074,team18/sr-hack-2019-dataset/740
58,1569712622.5109673,0.05056080187257314,0.05056080187257314,team18/sr-hack-2019-dataset/740
59,1569713834.737781,0.050272917906241645,0.050272917906241645,team18/sr-hack-2019-dataset/740
60,1569715040.8020778,0.04837701674052136,0.04837701674052136,team18/sr-hack-2019-dataset/740
61,1569716242.0324235,0.04880442442470343,0.04880442442470343,team18/sr-hack-2019-dataset/740
62,1569717439.6922204,0.047562865344904226,0.047562865344904226,team18/sr-hack-2019-dataset/740
63,1569718651.1122398,0.04757587366161278,0.04757587366161278,team18/sr-hack-2019-dataset/740
64,1569719854.9828658,0.04629346683382225,0.04629346683382225,team18/sr-hack-2019-dataset/740
65,1569721053.0186913,0.045609858483563886,0.045609858483563886,team18/sr-hack-2019-dataset/740
66,1569722266.8713212,0.04671445399442198,0.04671445399442198,team18/sr-hack-2019-dataset/740
67,1569723491.610658,0.04639463816349492,0.04639463816349492,team18/sr-hack-2019-dataset/740
68,1569724709.5350845,0.045351300814096884,0.045351300814096884,team18/sr-hack-2019-dataset/740
69,1569725918.6979892,0.04423559264183357,0.04423559264183357,team18/sr-hack-2019-dataset/740
70,1569727115.4160235,0.04333562548114236,0.04333562548114236,team18/sr-hack-2019-dataset/740
71,1569728335.2118182,0.04415332034386021,0.04415332034386021,team18/sr-hack-2019-dataset/740
72,1569729528.953262,0.04192350686296262,0.04192350686296262,team18/sr-hack-2019-dataset/740
73,1569730748.7346573,0.04338036410088703,0.04338036410088703,team18/sr-hack-2019-dataset/740
74,1569731949.9847353,0.04137241092298353,0.04137241092298353,team18/sr-hack-2019-dataset/740
75,1569733162.887415,0.04170268327150509,0.04170268327150509,team18/sr-hack-2019-dataset/740
76,1569734369.7337403,0.0412517726285421,0.0412517726285421,team18/sr-hack-2019-dataset/740
77,1569735584.7874184,0.041174444300723055,0.041174444300723055,team18/sr-hack-2019-dataset/740
78,1569736785.5792272,0.039959726448237774,0.039959726448237774,team18/sr-hack-2019-dataset/740
79,1569737995.2672067,0.03949388542820762,0.03949388542820762,team18/sr-hack-2019-dataset/740
80,1569739209.4334667,0.03943394750700186,0.03943394750700186,team18/sr-hack-2019-dataset/740
81,1569740422.2816372,0.039569764426997125,0.039569764426997125,team18/sr-hack-2019-dataset/740
82,1569741635.8843076,0.039284067747428236,0.039284067747428236,team18/sr-hack-2019-dataset/740
83,1569742860.2903543,0.03902420097858565,0.03902420097858565,team18/sr-hack-2019-dataset/740
84,1569744079.7307878,0.03828022602330872,0.03828022602330872,team18/sr-hack-2019-dataset/740
85,1569745294.589305,0.03746742164045468,0.03746742164045468,team18/sr-hack-2019-dataset/740
86,1569746498.3762887,0.03632712213546933,0.03632712213546933,team18/sr-hack-2019-dataset/740
