step,walltime,value,smoothed,sessionName
0,1569282254.7284226,0.11298542780925572,0.11298542780925572,team18/sr-hack-2019-dataset/320
1,1569284992.4821877,0.0968568530011924,0.0968568530011924,team18/sr-hack-2019-dataset/320
2,1569287731.0880625,0.09053936655428692,0.09053936655428692,team18/sr-hack-2019-dataset/320
3,1569290459.4251387,0.08654900946983521,0.08654900946983521,team18/sr-hack-2019-dataset/320
4,1569293190.4757617,0.08414513328551704,0.08414513328551704,team18/sr-hack-2019-dataset/320
5,1569295924.0636394,0.08051483224922576,0.08051483224922576,team18/sr-hack-2019-dataset/320
6,1569298663.0566885,0.07766490891377063,0.07766490891377063,team18/sr-hack-2019-dataset/320
7,1569301400.346249,0.07371852077650111,0.07371852077650111,team18/sr-hack-2019-dataset/320
8,1569304140.1550286,0.06981557705436453,0.06981557705436453,team18/sr-hack-2019-dataset/320
9,1569306878.4235384,0.06577659585979621,0.06577659585979621,team18/sr-hack-2019-dataset/320
10,1569309616.4161906,0.061493149612621416,0.061493149612621416,team18/sr-hack-2019-dataset/320
11,1569312352.9390845,0.05803915910766789,0.05803915910766789,team18/sr-hack-2019-dataset/320
12,1569315083.4369485,0.0546014430809475,0.0546014430809475,team18/sr-hack-2019-dataset/320
13,1569317815.7406964,0.051645670995088676,0.051645670995088676,team18/sr-hack-2019-dataset/320
14,1569320553.4028153,0.04962576460784477,0.04962576460784477,team18/sr-hack-2019-dataset/320
15,1569323291.9047704,0.04749765699331326,0.04749765699331326,team18/sr-hack-2019-dataset/320
16,1569326023.3506944,0.045133510173578584,0.045133510173578584,team18/sr-hack-2019-dataset/320
17,1569328762.8052366,0.043308413048860024,0.043308413048860024,team18/sr-hack-2019-dataset/320
18,1569331500.8417983,0.04220128751449932,0.04220128751449932,team18/sr-hack-2019-dataset/320
19,1569334237.3127935,0.0398615504287487,0.0398615504287487,team18/sr-hack-2019-dataset/320
20,1569336973.314824,0.03918500536148257,0.03918500536148257,team18/sr-hack-2019-dataset/320
21,1569339705.1332223,0.03728045817840838,0.03728045817840838,team18/sr-hack-2019-dataset/320
22,1569342442.5077453,0.03644089226278322,0.03644089226278322,team18/sr-hack-2019-dataset/320
23,1569345176.1131356,0.03396176631946152,0.03396176631946152,team18/sr-hack-2019-dataset/320
24,1569347907.940765,0.03341886831166074,0.03341886831166074,team18/sr-hack-2019-dataset/320
25,1569350638.323176,0.03237365868056155,0.03237365868056155,team18/sr-hack-2019-dataset/320
26,1569353369.628224,0.03120608987214272,0.03120608987214272,team18/sr-hack-2019-dataset/320
27,1569356105.7032924,0.03064823245501541,0.03064823245501541,team18/sr-hack-2019-dataset/320
28,1569358837.9412901,0.029333848849622902,0.029333848849622902,team18/sr-hack-2019-dataset/320
29,1569361568.9050279,0.028282407395706033,0.028282407395706033,team18/sr-hack-2019-dataset/320
30,1569364310.1613927,0.027293815319097636,0.027293815319097636,team18/sr-hack-2019-dataset/320
31,1569367047.9544077,0.025758554792826363,0.025758554792826363,team18/sr-hack-2019-dataset/320
32,1569369780.0861373,0.02532483658777247,0.02532483658777247,team18/sr-hack-2019-dataset/320
33,1569372512.9809685,0.02533764030072466,0.02533764030072466,team18/sr-hack-2019-dataset/320
34,1569375241.1194303,0.0243670343879482,0.0243670343879482,team18/sr-hack-2019-dataset/320
