step,walltime,value,smoothed,sessionName
0,1572077428.7378514,0.8540123126117736,0.8540123126117736,team18/sr-hack-2019-50000/216
1,1572078902.1769009,0.7026182843108976,0.7026182843108976,team18/sr-hack-2019-50000/216
2,1572080373.6021087,0.6083589502688062,0.6083589502688062,team18/sr-hack-2019-50000/216
3,1572081833.9969006,0.5040300315644599,0.5040300315644599,team18/sr-hack-2019-50000/216
4,1572083311.501252,0.43930228533282784,0.43930228533282784,team18/sr-hack-2019-50000/216
5,1572084773.0750997,0.36833169879428707,0.36833169879428707,team18/sr-hack-2019-50000/216
6,1572086209.5592968,0.3240315699541505,0.3240315699541505,team18/sr-hack-2019-50000/216
7,1572087651.958583,0.2907199389039523,0.2907199389039523,team18/sr-hack-2019-50000/216
8,1572089088.5143006,0.2603065241458503,0.2603065241458503,team18/sr-hack-2019-50000/216
9,1572090524.9580371,0.23465662317968666,0.23465662317968666,team18/sr-hack-2019-50000/216
10,1572091970.841602,0.22000758206347507,0.22000758206347507,team18/sr-hack-2019-50000/216
11,1572093398.842517,0.20086699247562614,0.20086699247562614,team18/sr-hack-2019-50000/216
12,1572094798.2393067,0.18402986673699306,0.18402986673699306,team18/sr-hack-2019-50000/216
13,1572096213.140199,0.173162242422744,0.173162242422744,team18/sr-hack-2019-50000/216
14,1572097666.1238632,0.16329319784515559,0.16329319784515559,team18/sr-hack-2019-50000/216
15,1572099116.4348702,0.15073471843347974,0.15073471843347974,team18/sr-hack-2019-50000/216
16,1572100577.1174076,0.141421966556507,0.141421966556507,team18/sr-hack-2019-50000/216
17,1572102033.4481688,0.131209531422983,0.131209531422983,team18/sr-hack-2019-50000/216
18,1572103495.344707,0.12547078845218768,0.12547078845218768,team18/sr-hack-2019-50000/216
19,1572104953.6113183,0.11600694473060325,0.11600694473060325,team18/sr-hack-2019-50000/216
20,1572106412.933611,0.11171181565696107,0.11171181565696107,team18/sr-hack-2019-50000/216
21,1572107869.3218563,0.10414898205303598,0.10414898205303598,team18/sr-hack-2019-50000/216
22,1572109312.5958521,0.09685948733163562,0.09685948733163562,team18/sr-hack-2019-50000/216
23,1572110766.8952894,0.09333217954106539,0.09333217954106539,team18/sr-hack-2019-50000/216
24,1572112202.4596574,0.08582016773941877,0.08582016773941877,team18/sr-hack-2019-50000/216
25,1572113655.1283104,0.08238351505561553,0.08238351505561553,team18/sr-hack-2019-50000/216
26,1572115101.3712327,0.07682196161168298,0.07682196161168298,team18/sr-hack-2019-50000/216
27,1572116545.0683477,0.07238123494232412,0.07238123494232412,team18/sr-hack-2019-50000/216
28,1572117988.0014312,0.06811907136205177,0.06811907136205177,team18/sr-hack-2019-50000/216
29,1572119436.3218884,0.06468379224047228,0.06468379224047228,team18/sr-hack-2019-50000/216
30,1572120882.4116333,0.055298241565641164,0.055298241565641164,team18/sr-hack-2019-50000/216
31,1572122330.1589565,0.051578635063747026,0.051578635063747026,team18/sr-hack-2019-50000/216
32,1572123771.1958208,0.04899496452088776,0.04899496452088776,team18/sr-hack-2019-50000/216
33,1572125210.9656513,0.04651568470703291,0.04651568470703291,team18/sr-hack-2019-50000/216
34,1572126651.1429307,0.04442100231582591,0.04442100231582591,team18/sr-hack-2019-50000/216
