step,walltime,value,smoothed,sessionName
20,1572114084.9323487,0.05574572127139364,0.05574572127139364,team18/sr-hack-2019-50000/249
50,1572114114.4055953,0.05603311047437122,0.05603311047437122,team18/sr-hack-2019-50000/249
60,1572114125.5379279,0.05639147802929428,0.05639147802929428,team18/sr-hack-2019-50000/249
70,1572114133.7843614,0.05611924984324232,0.05611924984324232,team18/sr-hack-2019-50000/249
90,1572114150.4825237,0.058319039451114926,0.058319039451114926,team18/sr-hack-2019-50000/249
100,1572114159.0393097,0.05805066896676228,0.05805066896676228,team18/sr-hack-2019-50000/249
110,1572114166.834976,0.05806085875210299,0.05806085875210299,team18/sr-hack-2019-50000/249
120,1572114175.4848006,0.05757804000334756,0.05757804000334756,team18/sr-hack-2019-50000/249
130,1572114184.253698,0.05707593688362919,0.05707593688362919,team18/sr-hack-2019-50000/249
140,1572114193.5533516,0.05724841056188785,0.05724841056188785,team18/sr-hack-2019-50000/249
170,1572114223.1703072,0.056238268937918334,0.056238268937918334,team18/sr-hack-2019-50000/249
190,1572114241.2660813,0.05634383590611123,0.05634383590611123,team18/sr-hack-2019-50000/249
210,1572114259.1485658,0.056497229214321945,0.056497229214321945,team18/sr-hack-2019-50000/249
230,1572114275.8207653,0.05622282227521391,0.05622282227521391,team18/sr-hack-2019-50000/249
250,1572114295.1885192,0.05608027382220931,0.05608027382220931,team18/sr-hack-2019-50000/249
270,1572114312.4316514,0.05630445503863225,0.05630445503863225,team18/sr-hack-2019-50000/249
280,1572114322.6141624,0.05609684086211987,0.05609684086211987,team18/sr-hack-2019-50000/249
290,1572114330.798613,0.05602129907685463,0.05602129907685463,team18/sr-hack-2019-50000/249
300,1572114340.9932613,0.055741711937361924,0.055741711937361924,team18/sr-hack-2019-50000/249
310,1572114348.9463668,0.05580367300503819,0.05580367300503819,team18/sr-hack-2019-50000/249
320,1572114357.6503386,0.0559638926360645,0.0559638926360645,team18/sr-hack-2019-50000/249
330,1572114367.882375,0.05599975548627667,0.05599975548627667,team18/sr-hack-2019-50000/249
350,1572114384.5167367,0.05619047069615032,0.05619047069615032,team18/sr-hack-2019-50000/249
380,1572114416.2894506,0.05632418939373822,0.05632418939373822,team18/sr-hack-2019-50000/249
400,1572114433.7446845,0.05635943978949176,0.05635943978949176,team18/sr-hack-2019-50000/249
410,1572114441.6067798,0.0562374404034832,0.0562374404034832,team18/sr-hack-2019-50000/249
440,1572114470.7897677,0.0563273020883033,0.0563273020883033,team18/sr-hack-2019-50000/249
450,1572114480.2254028,0.056285582259229514,0.056285582259229514,team18/sr-hack-2019-50000/249
460,1572114489.4943707,0.05610821968948328,0.05610821968948328,team18/sr-hack-2019-50000/249
480,1572114511.0650039,0.05600286351960248,0.05600286351960248,team18/sr-hack-2019-50000/249
490,1572114519.780782,0.056013968405975376,0.056013968405975376,team18/sr-hack-2019-50000/249
510,1572114536.8496683,0.05612734409071086,0.05612734409071086,team18/sr-hack-2019-50000/249
520,1572114545.112825,0.05626854008156664,0.05626854008156664,team18/sr-hack-2019-50000/249
540,1572114561.6273072,0.05605264439192656,0.05605264439192656,team18/sr-hack-2019-50000/249
570,1572114588.678406,0.05612538241494595,0.05612538241494595,team18/sr-hack-2019-50000/249
590,1572114604.9330356,0.055839443594685616,0.055839443594685616,team18/sr-hack-2019-50000/249
600,1572114613.5755928,0.05618132840656618,0.05618132840656618,team18/sr-hack-2019-50000/249
610,1572114620.8360834,0.05597090388268721,0.05597090388268721,team18/sr-hack-2019-50000/249
630,1572114637.610616,0.05569836638690025,0.05569836638690025,team18/sr-hack-2019-50000/249
640,1572114648.2566822,0.0557170190224696,0.0557170190224696,team18/sr-hack-2019-50000/249
650,1572114655.812357,0.05565557583648449,0.05565557583648449,team18/sr-hack-2019-50000/249
660,1572114665.081944,0.0556587806762574,0.0556587806762574,team18/sr-hack-2019-50000/249
680,1572114682.8594418,0.05569385333297643,0.05569385333297643,team18/sr-hack-2019-50000/249
690,1572114692.1938171,0.05563974124867737,0.05563974124867737,team18/sr-hack-2019-50000/249
730,1572114726.8912704,0.05578049179282957,0.05578049179282957,team18/sr-hack-2019-50000/249
740,1572114734.054347,0.05574442501093135,0.05574442501093135,team18/sr-hack-2019-50000/249
750,1572114744.3326423,0.05567910119870722,0.05567910119870722,team18/sr-hack-2019-50000/249
760,1572114752.3874702,0.05562798320624498,0.05562798320624498,team18/sr-hack-2019-50000/249
770,1572114759.8935852,0.05569793761915015,0.05569793761915015,team18/sr-hack-2019-50000/249
780,1572114770.8666043,0.05575069147240202,0.05575069147240202,team18/sr-hack-2019-50000/249
790,1572114779.5508642,0.055760568105282834,0.055760568105282834,team18/sr-hack-2019-50000/249
810,1572114796.1355906,0.055754788889027726,0.055754788889027726,team18/sr-hack-2019-50000/249
820,1572114805.418941,0.055806662634690626,0.055806662634690626,team18/sr-hack-2019-50000/249
830,1572114814.2169135,0.05577316117828973,0.05577316117828973,team18/sr-hack-2019-50000/249
850,1572114833.304871,0.05576431255447129,0.05576431255447129,team18/sr-hack-2019-50000/249
860,1572114842.2638288,0.055739178097660005,0.055739178097660005,team18/sr-hack-2019-50000/249
890,1572114873.605572,0.055632228858820826,0.055632228858820826,team18/sr-hack-2019-50000/249
900,1572114882.3986177,0.055572543799690614,0.055572543799690614,team18/sr-hack-2019-50000/249
920,1572114898.5707462,0.05558048480049272,0.05558048480049272,team18/sr-hack-2019-50000/249
930,1572114906.479071,0.055541529916687704,0.055541529916687704,team18/sr-hack-2019-50000/249
940,1572114917.4317267,0.05549849378457351,0.05549849378457351,team18/sr-hack-2019-50000/249
950,1572114925.8566504,0.05539980315547735,0.05539980315547735,team18/sr-hack-2019-50000/249
970,1572114943.2333508,0.05530707610146862,0.05530707610146862,team18/sr-hack-2019-50000/249
980,1572114952.266893,0.05531652968866508,0.05531652968866508,team18/sr-hack-2019-50000/249
1000,1572114971.5542836,0.05531698748563195,0.05531698748563195,team18/sr-hack-2019-50000/249
1010,1572114981.183178,0.0553306477944461,0.0553306477944461,team18/sr-hack-2019-50000/249
1020,1572114989.3203228,0.05526478687691953,0.05526478687691953,team18/sr-hack-2019-50000/249
1030,1572114997.1682014,0.055253601829800277,0.055253601829800277,team18/sr-hack-2019-50000/249
1080,1572115043.9871693,0.05530643030479064,0.05530643030479064,team18/sr-hack-2019-50000/249
1100,1572115061.8023436,0.055289774702445,0.055289774702445,team18/sr-hack-2019-50000/249
1120,1572115080.1687546,0.05521929079654396,0.05521929079654396,team18/sr-hack-2019-50000/249
1140,1572115099.6416576,0.05519557157587794,0.05519557157587794,team18/sr-hack-2019-50000/249
1150,1572115106.9489427,0.055176248662649925,0.055176248662649925,team18/sr-hack-2019-50000/249
1200,1572115150.6967518,0.0551254169457553,0.0551254169457553,team18/sr-hack-2019-50000/249
1220,1572115170.275439,0.05503582439244552,0.05503582439244552,team18/sr-hack-2019-50000/249
1250,1572115201.0016632,0.05491206394289702,0.05491206394289702,team18/sr-hack-2019-50000/249
1260,1572115209.2210717,0.05494565514227975,0.05494565514227975,team18/sr-hack-2019-50000/249
1270,1572115218.4922256,0.05492531699635988,0.05492531699635988,team18/sr-hack-2019-50000/249
1280,1572115227.2393098,0.054892020234445046,0.054892020234445046,team18/sr-hack-2019-50000/249
1310,1572115255.1977859,0.05488207998912553,0.05488207998912553,team18/sr-hack-2019-50000/249
1320,1572115263.8689253,0.054868559249917584,0.054868559249917584,team18/sr-hack-2019-50000/249
1340,1572115280.477294,0.054745076718617856,0.054745076718617856,team18/sr-hack-2019-50000/249
