step,walltime,value,smoothed,sessionName
0,1572115459.2007515,0.05453042028256922,0.05453042028256922,team18/sr-hack-2019-50000/249
1,1572116854.9476802,0.049433130870261556,0.049433130870261556,team18/sr-hack-2019-50000/249
2,1572118249.2155774,0.043892180859685125,0.043892180859685125,team18/sr-hack-2019-50000/249
3,1572119646.554098,0.038918512047514266,0.038918512047514266,team18/sr-hack-2019-50000/249
4,1572121042.9389837,0.03447366469148419,0.03447366469148419,team18/sr-hack-2019-50000/249
5,1572122438.1673596,0.03071971913399649,0.03071971913399649,team18/sr-hack-2019-50000/249
6,1572123830.8900821,0.0285151517648901,0.0285151517648901,team18/sr-hack-2019-50000/249
7,1572125229.408535,0.02538205633253392,0.02538205633253392,team18/sr-hack-2019-50000/249
8,1572126628.5801349,0.02314040278338649,0.02314040278338649,team18/sr-hack-2019-50000/249
9,1572128022.9344544,0.019834238510838778,0.019834238510838778,team18/sr-hack-2019-50000/249
10,1572129418.287668,0.019651554735081053,0.019651554735081053,team18/sr-hack-2019-50000/249
11,1572130815.0207956,0.01703217157440449,0.01703217157440449,team18/sr-hack-2019-50000/249
