step,walltime,value,smoothed,sessionName
0,1570045727.4385512,0.8983647804506937,0.8983647804506937,team18/sr-hack-2019-dataset/1178
1,1570046400.4809935,0.7694537505098603,0.7694537505098603,team18/sr-hack-2019-dataset/1178
2,1570047073.9016955,0.6993038401077925,0.6993038401077925,team18/sr-hack-2019-dataset/1178
3,1570047744.779542,0.6406618789442567,0.6406618789442567,team18/sr-hack-2019-dataset/1178
4,1570048411.6583414,0.5889265205296131,0.5889265205296131,team18/sr-hack-2019-dataset/1178
5,1570049083.516803,0.5515978679816863,0.5515978679816863,team18/sr-hack-2019-dataset/1178
6,1570049757.4486005,0.5085266983505731,0.5085266983505731,team18/sr-hack-2019-dataset/1178
7,1570050424.539137,0.48332470198948657,0.48332470198948657,team18/sr-hack-2019-dataset/1178
8,1570051084.2164109,0.437396022860076,0.437396022860076,team18/sr-hack-2019-dataset/1178
9,1570051760.0964694,0.4175240722833036,0.4175240722833036,team18/sr-hack-2019-dataset/1178
10,1570052434.3995526,0.3884150561190117,0.3884150561190117,team18/sr-hack-2019-dataset/1178
11,1570053104.0796359,0.3643267322648799,0.3643267322648799,team18/sr-hack-2019-dataset/1178
12,1570053771.0940967,0.3404102714519448,0.3404102714519448,team18/sr-hack-2019-dataset/1178
13,1570054436.2127926,0.31340485891190073,0.31340485891190073,team18/sr-hack-2019-dataset/1178
14,1570055102.6050487,0.3035009647245379,0.3035009647245379,team18/sr-hack-2019-dataset/1178
15,1570055779.044919,0.29730243770537634,0.29730243770537634,team18/sr-hack-2019-dataset/1178
16,1570056448.372199,0.2847151885681288,0.2847151885681288,team18/sr-hack-2019-dataset/1178
17,1570057126.8165693,0.26675206350224795,0.26675206350224795,team18/sr-hack-2019-dataset/1178
18,1570057798.18523,0.2515295810666508,0.2515295810666508,team18/sr-hack-2019-dataset/1178
19,1570058470.5761528,0.24003079785698245,0.24003079785698245,team18/sr-hack-2019-dataset/1178
20,1570059142.2546616,0.22580741256754217,0.22580741256754217,team18/sr-hack-2019-dataset/1178
21,1570059818.06778,0.2219118503004166,0.2219118503004166,team18/sr-hack-2019-dataset/1178
22,1570060490.4874506,0.21289935242006078,0.21289935242006078,team18/sr-hack-2019-dataset/1178
23,1570061161.0462694,0.20608670146702293,0.20608670146702293,team18/sr-hack-2019-dataset/1178
24,1570061830.0892775,0.1949545594119076,0.1949545594119076,team18/sr-hack-2019-dataset/1178
25,1570062497.1685731,0.19177394739616035,0.19177394739616035,team18/sr-hack-2019-dataset/1178
26,1570063170.0152261,0.18352452141871795,0.18352452141871795,team18/sr-hack-2019-dataset/1178
27,1570063845.5376844,0.172005114644106,0.172005114644106,team18/sr-hack-2019-dataset/1178
28,1570064514.5699363,0.1682012126656187,0.1682012126656187,team18/sr-hack-2019-dataset/1178
29,1570065179.8690681,0.15678492371572478,0.15678492371572478,team18/sr-hack-2019-dataset/1178
30,1570065854.4795806,0.1533659949495181,0.1533659949495181,team18/sr-hack-2019-dataset/1178
31,1570066525.0799358,0.14480263248348968,0.14480263248348968,team18/sr-hack-2019-dataset/1178
32,1570067199.2450585,0.14125079629875756,0.14125079629875756,team18/sr-hack-2019-dataset/1178
33,1570067865.738002,0.13744001979862236,0.13744001979862236,team18/sr-hack-2019-dataset/1178
34,1570068536.2781308,0.13132627854645115,0.13132627854645115,team18/sr-hack-2019-dataset/1178
35,1570069213.58236,0.12682804988152907,0.12682804988152907,team18/sr-hack-2019-dataset/1178
36,1570069886.21648,0.12312497422054382,0.12312497422054382,team18/sr-hack-2019-dataset/1178
37,1570070557.2541234,0.11744203632497238,0.11744203632497238,team18/sr-hack-2019-dataset/1178
38,1570071227.0372057,0.11360147023102976,0.11360147023102976,team18/sr-hack-2019-dataset/1178
39,1570071893.7351627,0.10572097691535631,0.10572097691535631,team18/sr-hack-2019-dataset/1178
40,1570072560.0530913,0.10823476033126028,0.10823476033126028,team18/sr-hack-2019-dataset/1178
41,1570073219.2155647,0.09858522344486863,0.09858522344486863,team18/sr-hack-2019-dataset/1178
42,1570073887.5440824,0.0983721132737847,0.0983721132737847,team18/sr-hack-2019-dataset/1178
43,1570074563.8609056,0.09101637511056522,0.09101637511056522,team18/sr-hack-2019-dataset/1178
44,1570075242.3341167,0.09084451206936851,0.09084451206936851,team18/sr-hack-2019-dataset/1178
45,1570075913.33533,0.08545947011187138,0.08545947011187138,team18/sr-hack-2019-dataset/1178
46,1570076583.5927057,0.08443974940077087,0.08443974940077087,team18/sr-hack-2019-dataset/1178
47,1570077254.4375083,0.0741256754217519,0.0741256754217519,team18/sr-hack-2019-dataset/1178
48,1570077930.0101454,0.06848627616328364,0.06848627616328364,team18/sr-hack-2019-dataset/1178
